question_name,difficulty,llm_code_creation_time,total_tokens,cost_prompt,judge_predict,execution_time,AC,WA,RE,TLE,CE,total_test_cases
Caça ao Tesouro_2011,Médio,3.69350271400026,1327,0.006005,AC,0.12220667200017488,22,0,0,0,0,22
Gomoku,Médio,2.847446506000324,1642,0.00633,AC,0.04570798399981868,30,0,0,0,0,30
Notas da Prova,Fácil,3.469604347999848,809,0.00276,AC,0.039158407999821065,20,0,0,0,0,20
Jogo da Vida,Médio,3.3917095080000763,1680,0.00765,AC,0.22120640899993305,19,0,0,0,0,19
Muro,Médio,2.243696709999768,813,0.00357,WA,0.06845505599994794,4,37,0,0,0,41
O Chefe,Médio,6.372206086000006,1785,0.010275,AC,0.1767933119999725,28,0,0,0,0,28
Proteja sua senha,Médio,3.719249251000292,1296,0.006715,WA,0.02653700100017886,5,5,0,0,0,10
Chinelos,Fácil,2.1767089939999096,958,0.0040825,AC,0.038040389999878244,16,0,0,0,0,16
Jogo dos copos,Fácil,2.166339483999764,1003,0.0043075,AC,0.06831676599995262,50,0,0,0,0,50
Tiro ao Alvo,Médio,2.0716724720000457,1087,0.004205,AC,0.4204352119995747,41,0,0,0,0,41
Robô_2021,Médio,1.8461958369998683,1078,0.0040825,AC,0.06616409500020382,50,0,0,0,0,50
Transportes,Difícil,6.263756573999672,2322,0.0125425,TLE,3.0,84,0,0,23,0,107
Jogo de Dominós,Fácil,3.867650578999928,620,0.0019,AC,0.059869886000342376,42,0,0,0,0,42
Arco e flecha,Médio,4.329859231000228,1229,0.00751,RE,1.0214328859992747,7,0,32,0,0,39
Móbile,Médio,2.8456780169999547,1274,0.005885,WA,0.15938594100043701,102,1,0,0,0,103
Campo de Minhocas,Fácil,3.7738449839998793,1135,0.004375,AC,0.040775337999548356,20,0,0,0,0,20
Entrega de Caixas,Fácil,1.565789501999916,777,0.0026925,WA,0.04376928900001076,17,5,0,0,0,22
Cinema,Fácil,1.359202057999937,485,0.002,AC,0.04302692500004923,20,0,0,0,0,20
Montanha,Médio,3.420124245000352,788,0.00297,AC,0.056037504999949306,33,0,0,0,0,33
Torre,Médio,2.995854985999813,921,0.0044775,WA,0.6874087460000737,0,33,0,0,0,33
Mesa redonda,Fácil,2.093645190999723,884,0.00306,AC,0.07320638700002746,65,0,0,0,0,65
Pizzaria,Fácil,3.123725001999901,824,0.002535,AC,0.02483081199989101,10,0,0,0,0,10
Redes de Descanso,Médio,2.3791181369997503,970,0.003775,AC,0.24434349900002417,35,0,0,0,0,35
Mancha,Médio,3.203984782000134,1208,0.0054825,WA,0.1506601450000744,27,3,0,0,0,30
Escher,Fácil,1.920103772999937,770,0.003275,WA,0.092977995000183,46,8,0,0,0,54
Nova avenida,Fácil,2.1918716889999814,924,0.00421,WA,0.08858634299940604,1,11,0,0,0,12
Game Show,Fácil,1.2485695580003269,1050,0.00335,AC,0.04321971100034716,25,0,0,0,0,25
Manchas de pele,Difícil,3.8959803190000457,1234,0.007285,AC,0.7405456269998467,61,0,0,0,0,61
Castelos da Nlogônia,Médio,4.208062371999858,1244,0.00676,AC,0.06037296799968317,36,0,0,0,0,36
Capitais,Difícil,4.8496162520000325,1013,0.0063825,AC,0.3928985279999324,38,0,0,0,0,38
Quadrado Mágico_2022,Médio,2.614020277000236,836,0.0043775,AC,0.04357853100009379,20,0,0,0,0,20
Piloto Automático,Fácil,1.6137782999999215,718,0.0025825,AC,0.030420682999647397,17,0,0,0,0,17
Falta uma,Fácil,5.016275170999961,919,0.0066225,WA,0.22891577299924393,5,23,0,0,0,28
Palavras Cruzadas_2020,Médio,2.003863044999889,929,0.00351,AC,0.04289721199984342,20,0,0,0,0,20
Piso da escola,Fácil,1.8137920240001224,801,0.00284,AC,0.045864587999858486,30,0,0,0,0,30
Ônibus,Médio,3.248697292000088,901,0.00494,AC,0.07059035600013885,19,0,0,0,0,19
Chocolate em barra,Fácil,1.5067284059996382,826,0.003265,AC,0.04957770199962397,28,0,0,0,0,28
