question_name,difficulty,llm_code_creation_time,total_tokens,cost_prompt,judge_predict,execution_time,AC,WA,RE,TLE,CE,total_test_cases
Caça ao Tesouro_2011,Médio,2.6166951180020988,1572,0.0039279999999999,AC,0.04529690799972741,22,0,0,0,0,22
Gomoku,Médio,2.919266476001212,1912,0.004652,AC,0.04772761799995351,30,0,0,0,0,30
Notas da Prova,Fácil,1.7801681230012036,1009,0.002302,AC,0.03799381899989385,20,0,0,0,0,20
Jogo da Vida,Médio,3.3786349410002003,1911,0.004958,AC,0.5355625559996042,19,0,0,0,0,19
Muro,Médio,2.370485210998595,2180,0.004952,WA,0.07188056399991183,3,38,0,0,0,41
O Chefe,Médio,9.141316318000465,2597,0.009042,WA,3.0,2,4,3,19,0,28
Proteja sua senha,Médio,3.251216488002683,1499,0.00391,WA,0.02603892899969651,5,5,0,0,0,10
Chinelos,Fácil,1.8360898499995528,1105,0.002594,AC,0.03137306000007811,16,0,0,0,0,16
Jogo dos copos,Fácil,2.0699543009977788,1237,0.00301,AC,0.0692799489997924,50,0,0,0,0,50
Tiro ao Alvo,Médio,3.1086785789993883,1353,0.003578,AC,0.8783954470000026,41,0,0,0,0,41
Robô_2021,Médio,1.9582396899968444,1272,0.003096,AC,0.07075617000009515,50,0,0,0,0,50
Transportes,Difícil,6.108205006999924,2449,0.006874,TLE,3.0,82,0,0,25,0,107
Jogo de Dominós,Fácil,1.4834560790004616,795,0.001706,WA,0.08359753100012313,1,41,0,0,0,42
Arco e flecha,Médio,4.179696851999324,1447,0.004382,RE,0.968123994999587,2,0,37,0,0,39
Móbile,Médio,2.8825825800013263,1895,0.004602,AC,0.1782602319999569,103,0,0,0,0,103
Campo de Minhocas,Fácil,2.272444327001722,1354,0.003384,AC,0.05186788399987563,20,0,0,0,0,20
Entrega de Caixas,Fácil,2.0571393050013285,1072,0.002656,WA,0.04065592699953413,17,5,0,0,0,22
Cinema,Fácil,1.3988699959991209,644,0.001564,AC,0.03533424399938667,20,0,0,0,0,20
Montanha,Médio,1.386671932999889,1014,0.0023279999999999,AC,0.05616339800053538,33,0,0,0,0,33
Torre,Médio,2.135101764000865,1089,0.00287,WA,1.2976908999999068,0,33,0,0,0,33
