question_name,difficulty,llm_code_creation_time,total_tokens,cost_prompt,judge_predict,execution_time,AC,WA,RE,TLE,CE,total_test_cases
Caça ao Tesouro_2011,Médio,36.54454876900127,6954,0.050378,AC,0.18395849999978964,22,0,0,0,0,22
Gomoku,Médio,19.68489591199977,5144,0.036008,AC,0.21443750000071304,30,0,0,0,0,30
Notas da Prova,Fácil,7.55197304900139,2604,0.011958,AC,0.18418019999990065,20,0,0,0,0,20
Jogo da Vida,Médio,22.96323451900025,5223,0.0310259999999999,AC,0.3998971999990317,19,0,0,0,0,19
Muro,Médio,33.32502754400048,5905,0.04146,AC,0.291484200000923,41,0,0,0,0,41
O Chefe,Médio,67.86377221699877,11742,0.1160839999999999,AC,0.26279780000004394,28,0,0,0,0,28
Proteja sua senha,Médio,33.497216223997384,6172,0.052904,AC,0.09688099999948463,10,0,0,0,0,10
Chinelos,Fácil,13.32622760600134,3338,0.020716,AC,0.1356791999987763,16,0,0,0,0,16
Jogo dos copos,Fácil,10.246270638999704,3209,0.018268,AC,0.27670410000064294,50,0,0,0,0,50
Tiro ao Alvo,Médio,16.518627690998983,4075,0.02767,AC,0.43719290000080946,41,0,0,0,0,41
Robô_2021,Médio,9.47248066800239,3301,0.018262,AC,0.29028420000031474,50,0,0,0,0,50
Transportes,Difícil,67.69573866700011,9955,0.08989,TLE,3.0,106,0,0,1,0,107
Jogo de Dominós,Fácil,19.25461174100201,2413,0.011486,AC,0.2789042000003974,42,0,0,0,0,42
Arco e flecha,Médio,83.01626978799686,10353,0.103996,TLE,3.0,20,0,0,19,0,39
Móbile,Médio,31.981692813002155,5815,0.04739,WA,0.35241900000073656,102,1,0,0,0,103
Campo de Minhocas,Fácil,9.734321717998682,3260,0.01733,AC,0.19005680000009306,20,0,0,0,0,20
Entrega de Caixas,Fácil,17.267518215001473,3586,0.023982,AC,0.15144730000065465,22,0,0,0,0,22
Cinema,Fácil,8.009633790999942,2398,0.013196,AC,0.19739429999935965,20,0,0,0,0,20
Montanha,Médio,9.268877045000409,2912,0.016824,AC,0.27855970000018715,33,0,0,0,0,33
Torre,Médio,32.466131089000555,4550,0.03568,AC,0.6208201000008557,33,0,0,0,0,33
Mesa redonda,Fácil,13.53869440500057,3384,0.021178,AC,0.4001972999994905,65,0,0,0,0,65
Pizzaria,Fácil,10.551646044998051,2737,0.013304,AC,0.09851359999993292,10,0,0,0,0,10
Redes de Descanso,Médio,24.359477926002,4542,0.034144,AC,0.30494030000045313,35,0,0,0,0,35
Mancha,Médio,65.22010786999817,10406,0.102782,AC,0.25581269999929646,30,0,0,0,0,30
Escher,Fácil,12.780494989001454,3031,0.018122,AC,0.30835839999963355,54,0,0,0,0,54
Nova avenida,Fácil,18.35317027700148,3684,0.024778,AC,0.18691149999904155,12,0,0,0,0,12
Game Show,Fácil,9.220151904999511,3037,0.015354,AC,0.15864690000125847,25,0,0,0,0,25
Manchas de pele,Difícil,24.70083223800248,5496,0.045512,AC,1.0127902000003814,61,0,0,0,0,61
Castelos da Nlogônia,Médio,19.205029003001982,4056,0.027852,AC,0.2751415000002453,36,0,0,0,0,36
Capitais,Difícil,34.513577435001935,6704,0.061938,AC,0.5240842000002885,38,0,0,0,0,38
Quadrado Mágico_2022,Médio,27.35898077000093,3734,0.026938,AC,0.1451957000008406,20,0,0,0,0,20
Piloto Automático,Fácil,10.596863968999967,2840,0.01566,AC,0.1472040000007837,17,0,0,0,0,17
Falta uma,Fácil,41.15486528600013,4551,0.037862,AC,0.3260264000000461,28,0,0,0,0,28
Palavras Cruzadas_2020,Médio,17.290270790002978,3384,0.020548,AC,0.13591029999952298,20,0,0,0,0,20
Piso da escola,Fácil,11.82908135300022,3207,0.019644,AC,0.19312989999889396,30,0,0,0,0,30
Ônibus,Médio,18.02334996799982,4007,0.029834,AC,0.2217631999992591,19,0,0,0,0,19
Chocolate em barra,Fácil,17.876683025999228,3088,0.018566,AC,0.26019219999943743,28,0,0,0,0,28
Campo Minado,Fácil,7.965877654001815,3658,0.014706,AC,0.2901437000000442,48,0,0,0,0,48
Fila_2025,Médio,14.549352612000805,3754,0.0250379999999999,AC,0.22860829999990528,26,0,0,0,0,26
Jogo dos Pinos,Fácil,34.514513219000946,8941,0.066552,AC,0.13325059999988298,16,0,0,0,0,16
Diagonal,Médio,66.19032243200127,9253,0.089736,AC,0.6564594000010402,46,0,0,0,0,46
Sr. Toupeira,Médio,52.14437761899899,6215,0.05134,AC,0.5509058000006917,26,0,0,0,0,26
Sr. Sapo,Difícil,29.62205854300192,6158,0.053226,AC,0.284661399999095,29,0,0,0,0,29
Duende Perdido,Médio,18.432519170000887,5630,0.03517,AC,0.1605611000013596,20,0,0,0,0,20
Bingo!,Médio,29.866222808999737,5985,0.05163,AC,1.055970299999899,35,0,0,0,0,35
Ponto do meio,Fácil,10.662077797001984,2773,0.014996,AC,0.2127890000010666,31,0,0,0,0,31
Game-10,Fácil,9.44431149400043,2621,0.012362,AC,0.2875045000000682,46,0,0,0,0,46
TV da Vovó,Médio,45.07131163500162,8345,0.0780899999999999,AC,0.31025749999935215,10,0,0,0,0,10
Dança Indígena,Difícil,113.29969355399952,14405,0.14965,AC,0.30948499999976775,30,0,0,0,0,30
Chuva_2016,Médio,27.74707590500111,5057,0.042014,AC,0.394893000000593,40,0,0,0,0,40
Dança de Formatura,Médio,28.846291829999245,7562,0.053934,AC,2.0805981000012252,55,0,0,0,0,55
Cubo Preto,Fácil,16.48283913299747,2245,0.01944,AC,0.12006219999966561,11,0,0,0,0,11
Competição de chocolate,Médio,37.16280297100093,5618,0.049266,WA,0.36989729999913834,72,17,0,0,0,89
Reduzindo detalhes em um mapa,Fácil,16.609599728999456,5289,0.033288,AC,0.6261785999995482,52,0,0,0,0,52
Dominó_2019,Fácil,6.289927212001203,2231,0.0092719999999999,AC,0.29603359999964596,42,0,0,0,0,42
Caminho das Pontes,Difícil,14.475871153998014,4142,0.026434,RE,0.43841059999977006,4,0,22,0,0,26
Macacos me mordam!,Difícil,100.39534889500284,15183,0.162326,AC,0.7425831000000471,38,0,0,0,0,38
Rodovia_2022,Difícil,126.8449647890011,16674,0.179768,AC,0.7673618999997416,13,0,0,0,0,13
VAR,Fácil,9.93354052399809,2678,0.013786,AC,0.30493790000036824,41,0,0,0,0,41
Computador,Difícil,36.193433968001045,6201,0.064832,AC,1.7235962999984622,42,0,0,0,0,42
Pulo do Gato,Médio,31.68577338600153,5136,0.041932,WA,0.32485389999965264,9,38,0,0,0,47
Semente,Fácil,17.180817853000917,2983,0.017436,AC,0.289967799999431,40,0,0,0,0,40
Álbum de fotos,Médio,32.16041616200164,5213,0.044226,AC,0.3186660999999731,57,0,0,0,0,57
Toca do Saci,Médio,59.06020479799918,8950,0.08483,AC,0.5103235000005952,51,0,0,0,0,51
Caminhos do reino,Difícil,147.82749934200183,21383,0.232996,AC,0.9769717999988643,40,0,0,0,0,40
Cartas,Fácil,18.059691192000173,3134,0.020848,AC,0.24344810000002326,30,0,0,0,0,30
Flíper,Fácil,11.58533222999904,2710,0.01525,AC,0.15299959999902057,15,0,0,0,0,15
Avião,Médio,16.737107903001743,4163,0.028156,AC,0.2699307000002591,32,0,0,0,0,32
Medalhas,Fácil,9.76352552499884,2960,0.01691,AC,0.3432736999984627,69,0,0,0,0,69
Elevador_2018,Fácil,22.282889398997213,4531,0.033672,AC,0.19420549999995274,24,0,0,0,0,24
Carro elétrico,Difícil,35.41996025899789,7006,0.062822,AC,0.27396910000061325,19,0,0,0,0,19
Dario e Xerxes,Fácil,16.425725135999528,3609,0.025318,AC,0.19547590000001946,22,0,0,0,0,22
O Tabuleiro Esburacado,Fácil,22.08979507099866,4964,0.039368,AC,0.1566557999994984,20,0,0,0,0,20
Retas,Médio,57.40175836699928,12213,0.113796,AC,1.789912500000355,43,0,0,0,0,43
Viagem,Difícil,179.86923623700204,11694,0.116048,AC,0.2877680000001419,28,0,0,0,0,28
Soma,Médio,43.33412103400042,6666,0.061642,AC,0.7775345000009111,46,0,0,0,0,46
Estoque,Fácil,15.56987701399703,3788,0.024046,AC,0.1815201999997953,23,0,0,0,0,23
Frete,Médio,12.196486654000182,3408,0.020526,AC,0.25323759999992035,35,0,0,0,0,35
Caçadores de Mitos,Fácil,48.19555785500052,5125,0.04045,AC,0.5866499000003387,20,0,0,0,0,20
Linhas Cruzadas,Médio,17.598813765001978,4102,0.031274,AC,0.42771390000052634,40,0,0,0,0,40
Bolas,Fácil,10.430886131001898,2654,0.015248,AC,0.1909665999992285,19,0,0,0,0,19
Xadrez Aleatório,Médio,14.510031319998234,3182,0.020494,AC,0.4581471000001329,57,0,0,0,0,57
Bombom,Fácil,19.167524551998213,4338,0.033496,AC,0.46902850000151375,50,0,0,0,0,50
Câmara de Compensação,Difícil,32.07726587400248,6104,0.048388,AC,0.8190183999995497,28,0,0,0,0,28
Taxa,Difícil,76.02608842799964,12158,0.123556,AC,1.7536801999995077,36,0,0,0,0,36
Atlanta,Fácil,29.21142379199955,5093,0.043076,AC,0.2880210999992414,40,0,0,0,0,40
Fuga com helicóptero,Fácil,15.14252006300012,3326,0.021482,AC,0.2564268999994965,74,0,0,0,0,74
Pirâmide,Fácil,21.769501390001096,3094,0.017778,WA,0.25976170000103593,1,38,0,0,0,39
Fitas Verde-amarelas,Difícil,81.08262767599808,13968,0.119746,WA,1.697738599999866,50,10,0,0,0,60
Copa do Mundo,Médio,17.767917165001563,4201,0.031052,AC,0.4419082000003982,50,0,0,0,0,50
Passa Bolinha,Difícil,50.94446911900013,7466,0.069372,AC,0.32004349999988335,40,0,0,0,0,40
Transmissão de Energia,Médio,17.96690927599775,4290,0.03086,AC,0.24701049999930547,10,0,0,0,0,10
Quadrado,Médio,29.856430424999417,5082,0.043034,AC,0.22650109999995038,30,0,0,0,0,30
Chocolate,Fácil,24.293726202999096,2911,0.015192,AC,0.34568899999976566,99,0,0,0,0,99
Xadrez,Fácil,10.667705417999969,2556,0.013042,AC,0.20793719999892346,26,0,0,0,0,26
Pizza,Médio,22.671114955999656,5152,0.0408139999999999,AC,0.39022490000024845,48,0,0,0,0,48
Construção de Rodovia,Difícil,44.20605539099779,6543,0.058816,WA,0.614810099999886,6,7,0,0,0,13
Dividindo o império,Médio,17.06635661400287,4150,0.03049,AC,0.3116283999988809,18,0,0,0,0,18
Cinco,Médio,53.99019230500198,7265,0.0662,AC,0.4095840000009048,64,0,0,0,0,64
Quebra-cabeça,Médio,27.750780753998697,4551,0.036022,AC,0.359378299999662,24,0,0,0,0,24
Calçada Imperial,Médio,38.70677179399718,7058,0.066146,AC,0.17968260000088776,20,0,0,0,0,20
Nota cortada,Fácil,16.93374205999862,3829,0.0262179999999999,AC,0.367658000001029,65,0,0,0,0,65
