question_name,difficulty,llm_code_creation_time,total_tokens,cost_prompt,judge_predict,execution_time,AC,WA,RE,TLE,CE,total_test_cases
Caça ao Tesouro_2011,Médio,8.204704716999913,1500,0.00645,AC,0.20287140000073123,22,0,0,0,0,22
Gomoku,Médio,3.0242657910000617,1780,0.006725,AC,0.3037683000002289,30,0,0,0,0,30
Notas da Prova,Fácil,1.3192395549999674,886,0.0029525,AC,0.2037849999996979,20,0,0,0,0,20
Jogo da Vida,Médio,3.582488812000065,1819,0.0080975,AC,0.5711852000004001,19,0,0,0,0,19
Muro,Médio,2.967746709000039,2300,0.0076625,WA,0.39928949999921315,3,38,0,0,0,41
O Chefe,Médio,5.697049360999927,1959,0.010235,AC,2.0971170000011625,28,0,0,0,0,28
Proteja sua senha,Médio,3.7303700340000887,1454,0.00711,WA,0.1260325000002922,5,5,0,0,0,10
Chinelos,Fácil,3.4085007160001624,1005,0.003925,AC,0.15772730000026058,16,0,0,0,0,16
Jogo dos copos,Fácil,3.998196567999912,1155,0.0046875,AC,0.3807340999992448,50,0,0,0,0,50
Tiro ao Alvo,Médio,3.511261126999898,1169,0.004785,AC,0.6796532000007574,41,0,0,0,0,41
Robô_2021,Médio,3.038355465999757,1131,0.0041775,AC,0.38777459999982966,50,0,0,0,0,50
Transportes,Difícil,9.985383994999664,2649,0.01671,TLE,3.0,103,0,0,4,0,107
Jogo de Dominós,Fácil,1.3932849719999467,686,0.002065,AC,0.3734236000000237,42,0,0,0,0,42
Arco e flecha,Médio,7.431057839000005,1392,0.0087175,RE,1.1466123999998672,7,0,32,0,0,39
Móbile,Médio,3.883639726999718,1906,0.00769,WA,0.5463032000006933,102,1,0,0,0,103
Campo de Minhocas,Fácil,3.028848339999968,1203,0.004745,AC,0.22652329999982612,20,0,0,0,0,20
Entrega de Caixas,Fácil,2.384903153000323,887,0.0029675,WA,0.2071206999989954,17,5,0,0,0,22
Cinema,Fácil,1.845175265999842,518,0.001995,AC,0.1909572999993543,20,0,0,0,0,20
Montanha,Médio,1.7926818430000822,918,0.0032825,AC,0.3297177999993437,33,0,0,0,0,33
Torre,Médio,3.0086050859999887,980,0.0046125,WA,0.6475321000016265,0,33,0,0,0,33
Mesa redonda,Fácil,5.202593003000402,956,0.0032775,AC,0.518423100000291,65,0,0,0,0,65
Pizzaria,Fácil,1.6484177990000717,949,0.00271,AC,0.1645420999993803,10,0,0,0,0,10
Redes de Descanso,Médio,2.6243832679997467,1158,0.0040575,AC,0.4383832000003167,35,0,0,0,0,35
Mancha,Médio,5.303027382999972,2081,0.010365,AC,0.5568262999986473,30,0,0,0,0,30
Escher,Fácil,5.292783023000084,867,0.0033425,WA,0.37168500000007043,46,8,0,0,0,54
Nova avenida,Fácil,2.679822176000016,975,0.004275,WA,0.21184469999934663,1,11,0,0,0,12
Game Show,Fácil,6.38798212499978,1091,0.0034525,AC,0.24512640000102692,25,0,0,0,0,25
Manchas de pele,Difícil,4.55998932600005,1344,0.0074725,AC,1.1427278999999544,61,0,0,0,0,61
Castelos da Nlogônia,Médio,3.839555320000272,1364,0.00656,AC,0.33811640000021725,36,0,0,0,0,36
Capitais,Difícil,3.744221859999925,1088,0.0065325,AC,0.6103349999993952,38,0,0,0,0,38
Quadrado Mágico_2022,Médio,2.646926347999852,880,0.0042125,AC,0.19565590000092925,20,0,0,0,0,20
Piloto Automático,Fácil,1.5850452780000523,766,0.0027025,AC,0.1671648000010464,17,0,0,0,0,17
Falta uma,Fácil,3.277256331999979,884,0.0047225,WA,0.30036070000096515,14,14,0,0,0,28
Palavras Cruzadas_2020,Médio,2.108191086000261,1173,0.0040325,AC,0.1629053999986354,20,0,0,0,0,20
Piso da escola,Fácil,4.244870009999886,1142,0.00373,AC,0.2716209999998682,30,0,0,0,0,30
Ônibus,Médio,6.663062027999786,1032,0.0052675,AC,0.20394239999950514,19,0,0,0,0,19
Chocolate em barra,Fácil,4.3819898009996905,958,0.00397,AC,0.2970119000001432,28,0,0,0,0,28
Campo Minado,Fácil,2.1929433790000985,817,0.0029175,AC,0.36994529999901715,48,0,0,0,0,48
Fila_2025,Médio,2.2761413240000365,1402,0.004805,AC,0.24543329999869457,26,0,0,0,0,26
Jogo dos Pinos,Fácil,3.1708878279996497,1195,0.0053,AC,0.17574690000037663,16,0,0,0,0,16
Diagonal,Médio,3.3561970949999704,1197,0.00523,WA,0.6661496000015177,23,23,0,0,0,46
Sr. Toupeira,Médio,3.177034439999716,1389,0.00551,AC,1.0014520000004268,26,0,0,0,0,26
Sr. Sapo,Difícil,6.103193973000089,1392,0.00768,AC,0.47139790000073845,29,0,0,0,0,29
Duende Perdido,Médio,3.7970825319998767,1508,0.0077325,AC,0.20391440000094008,20,0,0,0,0,20
Bingo!,Médio,3.177290297000127,1101,0.0051275,AC,0.8907679999992979,35,0,0,0,0,35
Ponto do meio,Fácil,3.0765858360000493,854,0.0024225,AC,0.31423089999952936,31,0,0,0,0,31
Game-10,Fácil,1.185190268000042,839,0.002435,AC,0.3280708999991475,46,0,0,0,0,46
TV da Vovó,Médio,3.8443024149996745,1919,0.00866,WA,0.39996659999997064,0,10,0,0,0,10
Dança Indígena,Difícil,3.148821245000363,1504,0.0063225,WA,0.28033659999891825,9,21,0,0,0,30
Chuva_2016,Médio,2.941459422999742,1023,0.0049825,AC,0.41424039999947126,40,0,0,0,0,40
Dança de Formatura,Médio,4.569132642000113,1756,0.006915,AC,1.5817530999993323,55,0,0,0,0,55
Competição de chocolate,Médio,3.3342533430000003,1055,0.0032,WA,0.5498052000002644,72,17,0,0,0,89
Reduzindo detalhes em um mapa,Fácil,6.011514627999986,1302,0.007155,AC,0.9362103999992542,52,0,0,0,0,52
Dominó_2019,Fácil,1.360273145000065,730,0.002175,AC,0.37051449999853503,42,0,0,0,0,42
Caminho das Pontes,Difícil,4.703277908000018,1639,0.0069975,RE,0.40029320000030566,4,0,22,0,0,26
Macacos me mordam!,Difícil,21.46219691399984,2613,0.02812,RE,1.4173030000001745,0,0,38,0,0,38
Rodovia_2022,Difícil,11.262853287000326,1791,0.01414,WA,3.0,0,11,0,2,0,13
VAR,Fácil,5.132878602999881,962,0.00293,AC,0.3128661999999167,41,0,0,0,0,41
Computador,Difícil,7.238999544999842,1290,0.00845,AC,2.6165789000006043,42,0,0,0,0,42
Pulo do Gato,Médio,4.028721566000058,1245,0.005325,WA,0.4565215000002354,4,43,0,0,0,47
Semente,Fácil,1.8430066410001016,845,0.003275,AC,0.33920239999861224,40,0,0,0,0,40
Álbum de fotos,Médio,3.948165132000213,955,0.0051,AC,0.46112209999955667,57,0,0,0,0,57
Toca do Saci,Médio,4.718829466999978,1497,0.0086175,TLE,3.0,32,0,0,19,0,51
Caminhos do reino,Difícil,10.554015304000131,2167,0.01658,WA,1.8086499000000913,1,39,0,0,0,40
Cartas,Fácil,1.4731923330000427,662,0.002255,AC,0.24630059999981313,30,0,0,0,0,30
Flíper,Fácil,6.154295621000074,743,0.002445,WA,0.13372090000120807,0,15,0,0,0,15
Avião,Médio,3.0558342740000626,1281,0.0043775,AC,0.23779929999909655,32,0,0,0,0,32
Medalhas,Fácil,4.387689888000296,767,0.0026925,AC,0.39624990000083926,69,0,0,0,0,69
Elevador_2018,Fácil,4.484628969999903,1336,0.00524,AC,0.19987869999931718,24,0,0,0,0,24
