question_name,difficulty,llm_code_creation_time,total_tokens,cost_prompt,judge_predict,execution_time,AC,WA,RE,TLE,CE,total_test_cases
Caça ao Tesouro_2011,Médio,2.504584334004903,1427,0.0036379999999999,AC,0.0506519410000692,22,0,0,0,0,22
Gomoku,Médio,2.5095076219949988,1800,0.004428,AC,0.046749725000154285,30,0,0,0,0,30
Notas da Prova,Fácil,1.4081169349956326,935,0.002118,AC,0.0409643060002054,20,0,0,0,0,20
Jogo da Vida,Médio,3.167364702996565,1799,0.004726,AC,0.47722929200062936,19,0,0,0,0,19
Muro,Médio,2.201325098998496,949,0.00243,WA,0.05181242700018629,3,38,0,0,0,41
O Chefe,Médio,58.89121564300149,8606,0.045804,RE,0.159871027999543,0,0,28,0,0,28
Proteja sua senha,Médio,3.101961206004489,1393,0.003802,RE,0.07462388899966754,0,0,10,0,0,10
Chinelos,Fácil,1.440223732002778,1047,0.0024779999999999,AC,0.03938667700003862,16,0,0,0,0,16
Jogo dos copos,Fácil,2.85189665100188,1108,0.002744,AC,0.07119159799913177,50,0,0,0,0,50
Tiro ao Alvo,Médio,2.492115205997834,1313,0.0035139999999999,AC,0.954698164000547,41,0,0,0,0,41
Robô_2021,Médio,2.282210850004049,1230,0.003032,AC,0.07435765400077798,50,0,0,0,0,50
Transportes,Difícil,5.127461637996021,2398,0.006768,TLE,3.0,81,0,0,26,0,107
Jogo de Dominós,Fácil,1.6676701420001336,739,0.001594,WA,0.17649144900042302,1,41,0,0,0,42
Arco e flecha,Médio,2.460407247999683,1196,0.003208,TLE,3.0,8,0,0,31,0,39
Móbile,Médio,3.0030121640011203,1383,0.0035779999999999,AC,0.22892156799935037,103,0,0,0,0,103
Campo de Minhocas,Fácil,1.5282477009968716,1313,0.0033139999999999,AC,0.04726131000006717,20,0,0,0,0,20
Entrega de Caixas,Fácil,2.148570916004246,927,0.002154,WA,0.05386829700000817,17,5,0,0,0,22
Cinema,Fácil,1.4924122169977636,634,0.00164,WA,0.03779499499978556,3,17,0,0,0,20
Montanha,Médio,1.195358965000196,904,0.002108,AC,0.07770075999997061,33,0,0,0,0,33
Torre,Médio,2.080431243994098,1038,0.002768,WA,1.2419681069995931,0,33,0,0,0,33
Mesa redonda,Fácil,1.5037954130020807,1032,0.002492,WA,0.08405025899992324,0,65,0,0,0,65
Pizzaria,Fácil,1.0279302519993507,952,0.00208,AC,0.02471535499989841,10,0,0,0,0,10
Redes de Descanso,Médio,3.301295552002557,1314,0.00396,WA,0.4049703430000591,1,34,0,0,0,35
Mancha,Médio,7.194430370000191,2020,0.007584,WA,3.0,21,4,0,5,0,30
Escher,Fácil,2.465975685001468,983,0.002786,AC,0.09794619900003454,54,0,0,0,0,54
Nova avenida,Fácil,2.245672784003545,1065,0.0028339999999999,WA,0.21991675599929295,3,9,0,0,0,12
Game Show,Fácil,1.0318855770019582,1172,0.0025719999999999,AC,0.037624798999786435,25,0,0,0,0,25
